SITE_ID,SITE_NAME,FLUXNET2015,FLUXNET-CH4,latitude,longitude,data_longtime,LOCATION_ELEV,IGBP,MAT,MAP
CN-Dan,Dangxiong,CC-BY-4.0,,30.4978,91.0664,2,,GRA,-1.54,246.88
CN-Din,Dinghushan,CC-BY-4.0,,23.1733,112.5361,3,,EBF,19.64,1618.1
CN-Du2,Duolun_grassland (D01),CC-BY-4.0,,42.0467,116.2836,3,,GRA,2.01,318.96
CN-Du3,Duolun Degraded Meadow,CC-BY-4.0,,42.0551,116.2809,2,,GRA,,
CN-Ha2,Haibei Shrubland,CC-BY-4.0,,37.6086,101.3269,3,,WET,,
CN-HaM,Haibei Alpine Tibet site,CC-BY-4.0,,37.37,101.18,3,,GRA,,
CN-Hgu,Hongyuan,,CC-BY-4.0,32.8453,102.59,3,3500,GRA,1.5,747
CN-Qia,Qianyanzhou,CC-BY-4.0,,26.7414,115.0581,3,,ENF,18.95,1466.75
CN-Sw2,Siziwang Grazed (SZWG),CC-BY-4.0,,41.7902,111.8971,3,,GRA,,
CZ-BK1,Bily Kriz forest,CC-BY-4.0,,49.5021,18.5369,11,875,ENF,6.7,1316
CZ-BK2,Bily Kriz grassland,CC-BY-4.0,,49.4944,18.5429,9,855,GRA,6.7,1316
CZ-wet,Trebon (CZECHWET),CC-BY-4.0,,49.0247,14.7704,9,426,WET,7.7,604
DE-Akm,Anklam,CC-BY-4.0,,53.8662,13.6834,6,-1,WET,8.7,558
DE-Dgw,Dagowsee,,CC-BY-4.0,53.1514,13.0543,4,60,WAT,9.02,602.9
DE-Geb,Gebesee,CC-BY-4.0,,51.0997,10.9146,14,161.5,CRO,8.5,470
DE-Gri,Grillenburg,CC-BY-4.0,,50.95,13.5126,11,385,GRA,7.8,901
DE-Hai,Hainich,CC-BY-4.0,,51.0792,10.4522,13,430,DBF,8.3,720
DE-Hte,Huetelmoor,,CC-BY-4.0,54.2103,12.1761,8,0.2,WET,9.2,645
DE-Kli,Klingenberg,CC-BY-4.0,,50.8931,13.5224,11,478,CRO,7.6,842
DE-Lkb,Lackenberg,CC-BY-4.0,,49.0996,13.3047,5,1308,ENF,4,1599
DE-Lnf,Leinefelde,CC-BY-4.0,,51.3282,10.3678,11,451,DBF,6.96,894.6
DE-Obe,Oberb?renburg,CC-BY-4.0,,50.7867,13.7213,7,734,ENF,5.5,996
DE-RuR,Rollesbroich,CC-BY-4.0,,50.6219,6.3041,4,514.7,GRA,7.7,1033
DE-RuS,Selhausen Juelich,CC-BY-4.0,,50.8659,6.4471,4,102.755,CRO,10,700
DE-Seh,Selhausen,CC-BY-4.0,,50.8706,6.4497,4,103,CRO,9.9,693
DE-SfN,Schechenfilz Nord,CC-BY-4.0,CC-BY-4.0,47.8064,11.3275,3,590,WET,8.6,1127
DE-Spw,Spreewald,CC-BY-4.0,,51.8922,14.0337,5,61,WET,8.7,558
DE-Tha,Tharandt,CC-BY-4.0,,50.9626,13.5651,19,385,ENF,8.2,843
DE-Zrk,Zarnekow,CC-BY-4.0,CC-BY-4.0,53.8759,12.889,2,0,WET,8.7,584
