SITE_ID,SITE_NAME,FLUXNET2015,FLUXNET-CH4,latitude,longitude,data_longtime,LOCATION_ELEV,IGBP,MAT,MAP
US-Wi0,Young red pine (YRP),CC-BY-4.0,,46.6188,-91.0814,1,349,ENF,,
US-Wi1,Intermediate hardwood (IHW),CC-BY-4.0,,46.7305,-91.2329,1,352,DBF,,
US-Wi2,Intermediate red pine (IRP),CC-BY-4.0,,46.6869,-91.1528,1,395,ENF,,
US-Wi3,Mature hardwood (MHW),CC-BY-4.0,,46.6347,-91.0987,3,411,DBF,,
US-Wi4,Mature red pine (MRP),CC-BY-4.0,,46.7393,-91.1663,4,352,ENF,,
US-Wi5,Mixed young jack pine (MYJP),CC-BY-4.0,,46.6531,-91.0858,1,353,ENF,,
US-Wi6,Pine barrens #1 (PB1),CC-BY-4.0,,46.6249,-91.2982,2,371,OSH,,
US-Wi7,Red pine clearcut (RPCC),CC-BY-4.0,,46.6491,-91.0693,1,335,OSH,,
US-Wi8,Young hardwood clearcut (YHW),CC-BY-4.0,,46.7223,-91.2524,1,348,DBF,,
US-Wi9,Young Jack pine (YJP),CC-BY-4.0,,46.7385,-91.0746,2,350,ENF,,
US-Wkg,Walnut Gulch Kendall Grasslands,CC-BY-4.0,,31.7365,-109.9419,11,1531,GRA,15.64,407
US-WPT,Winous Point North Marsh,CC-BY-4.0,CC-BY-4.0,41.4646,-82.9962,3,175,WET,10.1,849
ZA-Kru,Skukuza,Tier 2,,-25.0197,31.4969,14,359,SAV,21.9,547
ZM-Mon,Mongu,CC-BY-4.0,,-15.4391,23.2525,10,1053,DBF,25,945
